date,website,brand,impressions,clicks,conversions,revenue
1/1/23,healthyfeet.com,Hoka,4180,452,41,"$2,870"
1/1/23,healthyfeet.com,Brooks,3103,282,34,$782
1/1/23,healthyfeet.com,On Cloud,2988,276,26,"$1,430"
1/1/23,healthyfeet.com,Nike,2721,210,21,$882
1/1/23,healthyfeet.com,Saucony,2641,193,21,"$1,050"
1/1/23,healthyfeet.com,Reebok,2157,135,9,$243
1/1/23,healthyfeet.com,Adidas,1991,142,11,$407
1/1/23,healthyfeet.com,New Balance,1716,98,8,$240
1/1/23,healthyfeet.com,Altra,1492,89,8,$224
1/1/23,healthyfeet.com,Asics,1464,79,6,$138
1/2/23,healthyfeet.com,Hoka,4670,527,28,"$1,568"
1/2/23,healthyfeet.com,On Cloud,3683,291,32,"$1,760"
1/2/23,healthyfeet.com,Saucony,3159,201,21,"$1,029"
1/2/23,healthyfeet.com,Brooks,3155,350,38,"$1,520"
1/2/23,healthyfeet.com,Nike,2545,143,16,$496
1/2/23,healthyfeet.com,Reebok,2206,98,7,$343
1/2/23,healthyfeet.com,New Balance,1846,143,10,$300
1/2/23,healthyfeet.com,Adidas,1773,108,8,$136
1/2/23,healthyfeet.com,Altra,1480,60,6,$162
1/2/23,healthyfeet.com,Asics,1230,56,4,$76
1/3/23,healthyfeet.com,On Cloud,3604,268,23,"$1,265"
1/3/23,healthyfeet.com,Hoka,3604,328,22,"$1,056"
1/3/23,healthyfeet.com,Brooks,3450,320,35,"$1,015"
1/3/23,healthyfeet.com,Saucony,2800,212,24,"$1,104"
1/3/23,healthyfeet.com,Nike,2105,160,17,$510
1/3/23,healthyfeet.com,Reebok,2017,88,6,$162
1/3/23,healthyfeet.com,Adidas,1881,100,7,$168
1/3/23,healthyfeet.com,New Balance,1713,89,6,$180
1/3/23,healthyfeet.com,Altra,1416,70,6,$198
1/3/23,healthyfeet.com,Asics,1307,59,5,$135
1/4/23,healthyfeet.com,Hoka,3839,397,28,"$1,848"
1/4/23,healthyfeet.com,Brooks,3506,381,45,$900
1/4/23,healthyfeet.com,On Cloud,3423,270,30,"$1,650"
1/4/23,healthyfeet.com,Saucony,2693,247,23,"$1,081"
1/4/23,healthyfeet.com,Nike,2458,182,18,$918
1/4/23,healthyfeet.com,Reebok,2447,160,11,$539
1/4/23,healthyfeet.com,Adidas,1834,143,13,$351
1/4/23,healthyfeet.com,New Balance,1583,94,6,$180
