date,webpage,brand,impressions,clicks,revenue,rev / conv
1/1/23,runnation.com,On Cloud,8325,823,"$3,420",$60
1/1/23,runnation.com,Hoka,7874,503,"$2,480",$62
1/1/23,runnation.com,Nike,6987,500,"$1,140",$30
1/1/23,runnation.com,New Balance,4757,294,$385,$35
1/1/23,runnation.com,Saucony,4444,297,"$1,080",$45
1/1/23,runnation.com,Asics,4371,194,$175,$35
1/1/23,runnation.com,Adidas,3352,205,$387,$43
1/1/23,runnation.com,Brooks,3333,273,$960,$40
1/1/23,runnation.com,Altra,2612,129,$240,$40
1/1/23,runnation.com,Under Armour,1022,64,$60,$20
1/1/23,runnation.com,Mizuno,893,73,$150,$50
1/2/23,runnation.com,On Cloud,8582,909,"$3,120",$60
1/2/23,runnation.com,Hoka,6542,369,"$1,518",$69
1/2/23,runnation.com,New Balance,5856,454,$490,$35
1/2/23,runnation.com,Nike,5737,319,$600,$30
1/2/23,runnation.com,Saucony,4496,306,$945,$45
1/2/23,runnation.com,Asics,4001,165,$245,$35
1/2/23,runnation.com,Brooks,3557,417,"$1,360",$40
1/2/23,runnation.com,Adidas,2826,144,$450,$45
1/2/23,runnation.com,Altra,2784,174,$400,$40
1/2/23,runnation.com,Mizuno,1141,101,$250,$50
1/2/23,runnation.com,Under Armour,1134,58,$40,$20
1/3/23,runnation.com,Hoka,6949,444,"$2,304",$72
1/3/23,runnation.com,On Cloud,6798,660,"$3,060",$60
1/3/23,runnation.com,Nike,6739,573,"$1,260",$30
1/3/23,runnation.com,New Balance,4550,258,$420,$35
1/3/23,runnation.com,Asics,4362,214,$175,$35
1/3/23,runnation.com,Saucony,4221,243,$765,$45
1/3/23,runnation.com,Adidas,3392,211,$405,$45
1/3/23,runnation.com,Brooks,3061,275,$880,$40
1/3/23,runnation.com,Altra,2891,212,$400,$40
1/3/23,runnation.com,Under Armour,1211,75,$60,$20
1/3/23,runnation.com,Mizuno,1151,93,$300,$50
1/4/23,runnation.com,On Cloud,7554,466,"$1,680",$60
1/4/23,runnation.com,Hoka,7013,503,"$2,220",$74
1/4/23,runnation.com,Nike,6553,348,$690,$30
1/4/23,runnation.com,New Balance,5438,483,$875,$35
1/4/23,runnation.com,Brooks,4335,373,"$1,280",$40
1/4/23,runnation.com,Asics,4129,166,$175,$35
1/4/23,runnation.com,Saucony,3567,262,$945,$45
1/4/23,runnation.com,Altra,2754,168,$320,$40
1/4/23,runnation.com,Adidas,2604,149,$450,$45
1/4/23,runnation.com,Mizuno,1100,49,$100,$50
1/4/23,runnation.com,Under Armour,954,47,$40,$20
1/5/23,runnation.com,On Cloud,8117,866,"$4,200",$60
1/5/23,runnation.com,Hoka,7598,461,"$2,592",$72
1/5/23,runnation.com,Nike,7268,412,$960,$30
1/5/23,runnation.com,New Balance,5732,365,$700,$35
1/5/23,runnation.com,Asics,4008,216,$280,$35
1/5/23,runnation.com,Saucony,3216,308,$945,$45
1/5/23,runnation.com,Brooks,3193,344,"$1,120",$40
1/5/23,runnation.com,Adidas,2703,137,$369,$41
1/5/23,runnation.com,Altra,2658,110,$280,$40
1/5/23,runnation.com,Mizuno,1044,55,$200,$50
1/5/23,runnation.com,Under Armour,1025,80,$40,$20
1/6/23,runnation.com,On Cloud,7644,552,"$2,640",$60
1/6/23,runnation.com,Hoka,7312,567,"$3,024",$63
1/6/23,runnation.com,Nike,7017,548,"$1,080",$30
1/6/23,runnation.com,New Balance,4516,304,$420,$35
1/6/23,runnation.com,Asics,4023,164,$210,$35
1/6/23,runnation.com,Brooks,4011,343,$960,$40
1/6/23,runnation.com,Saucony,3406,197,$720,$45
1/6/23,runnation.com,Altra,2806,222,$480,$40
1/6/23,runnation.com,Adidas,2751,169,$504,$42
1/6/23,runnation.com,Under Armour,1037,75,$40,$20
1/6/23,runnation.com,Mizuno,993,47,$100,$50
1/7/23,runnation.com,On Cloud,7933,822,"$2,940",$60
1/7/23,runnation.com,Hoka,6105,396,"$2,108",$62
1/7/23,runnation.com,Nike,6079,508,$990,$30
1/7/23,runnation.com,New Balance,6023,449,$875,$35
1/7/23,runnation.com,Saucony,4684,395,"$1,395",$45
1/7/23,runnation.com,Brooks,4221,369,"$1,160",$40
1/7/23,runnation.com,Asics,4186,247,$350,$35
1/7/23,runnation.com,Adidas,2951,196,$504,$42
1/7/23,runnation.com,Altra,2926,176,$360,$40
1/7/23,runnation.com,Under Armour,1211,86,$40,$20
1/7/23,runnation.com,Mizuno,853,51,$150,$50
1/8/23,runnation.com,Hoka,7487,399,"$1,500",$60
1/8/23,runnation.com,On Cloud,6606,667,"$3,060",$60
1/8/23,runnation.com,New Balance,5963,367,$490,$35
1/8/23,runnation.com,Nike,5644,479,$990,$30
1/8/23,runnation.com,Saucony,4931,368,"$1,260",$45
1/8/23,runnation.com,Brooks,4489,527,"$1,280",$40
1/8/23,runnation.com,Asics,4471,183,$245,$35
1/8/23,runnation.com,Adidas,3094,227,$462,$42
1/8/23,runnation.com,Altra,2967,236,$480,$40
1/8/23,runnation.com,Mizuno,1067,75,$200,$50
1/8/23,runnation.com,Under Armour,977,56,$40,$20
1/9/23,runnation.com,On Cloud,6585,569,"$3,060",$60
1/9/23,runnation.com,Nike,6290,554,"$1,140",$30
1/9/23,runnation.com,New Balance,6224,536,$980,$35
1/9/23,runnation.com,Hoka,6175,414,"$1,587",$69
1/9/23,runnation.com,Asics,4309,189,$280,$35
1/9/23,runnation.com,Saucony,4142,324,$900,$45
1/9/23,runnation.com,Brooks,3964,409,"$1,080",$40
1/9/23,runnation.com,Adidas,3230,237,$645,$43
1/9/23,runnation.com,Altra,2752,165,$360,$40
1/9/23,runnation.com,Mizuno,1140,97,$200,$50
1/9/23,runnation.com,Under Armour,998,66,$60,$20
1/10/23,runnation.com,On Cloud,8419,921,"$3,360",$60
1/10/23,runnation.com,Hoka,6746,388,"$1,922",$62
1/10/23,runnation.com,Nike,6231,353,$750,$30
1/10/23,runnation.com,New Balance,6023,318,$525,$35
1/10/23,runnation.com,Saucony,4444,245,$810,$45
1/10/23,runnation.com,Asics,3924,188,$350,$35
1/10/23,runnation.com,Brooks,3438,358,"$1,280",$40
1/10/23,runnation.com,Adidas,3215,259,$572,$44
1/10/23,runnation.com,Altra,2698,131,$240,$40
